Gender,ParentMaritalStatus,Maths,Reading,Writing
male,divorced,64,58,59
female,single,36,45,48
male,divorced,46,41,46
female,married,49,57,58
male,married,58,55,57
female,single,72,73,83
female,married,63,74,70
male,single,80,73,66
male,married,64,71,62
female,married,47,55,58
male,married,64,63,58
male,divorced,75,69,72
male,married,71,76,68
female,divorced,74,93,87
female,divorced,57,69,77
male,married,71,76,67
male,married,53,54,49
female,married,79,91,85
female,married,76,76,78
female,single,49,64,54
female,single,90,98,96
male,married,74,77,81
female,married,31,34,41
male,married,69,67,63
male,single,87,73,69
male,married,82,76,81
male,divorced,74,67,68
female,married,80,85,83
female,married,48,65,58
female,married,88,99,97
female,married,76,72,75
female,married,57,69,70
female,,63,64,67
female,single,62,69,65
male,married,62,56,55
female,single,60,81,72
male,divorced,100,96,96
male,divorced,53,47,47
female,single,70,78,74
male,married,48,50,44
female,married,47,51,56
male,divorced,85,84,79
female,married,85,89,91
female,married,76,88,84
male,married,62,54,52
female,married,42,52,51
male,married,73,60,56
male,married,58,54,52
male,married,64,64,60
male,single,99,98,97
female,married,60,69,70
male,single,72,59,59
female,single,39,55,41
female,single,47,59,52
female,married,43,53,56
male,married,74,63,60
male,,60,69,60
female,married,50,65,65
female,married,72,73,71
female,married,75,87,81
male,divorced,90,78,83
female,married,74,91,90
female,divorced,78,86,85
male,married,66,64,60
female,,83,92,93
female,married,44,57,55
female,married,69,75,77
female,married,89,95,98
female,single,73,91,94
female,widowed,62,79,77
male,single,82,86,85
female,divorced,30,43,49
male,married,92,85,87
male,single,73,71,76
male,married,83,85,85
male,divorced,79,77,73
male,single,16,30,27
female,divorced,83,95,85
female,single,58,69,77
female,married,59,76,70
male,single,73,80,71
female,,51,57,60
female,single,86,88,89
male,married,70,74,70
female,married,74,81,74
female,divorced,88,86,80
male,married,56,55,50
male,single,55,49,49
male,married,79,88,91
male,married,57,67,53
female,married,75,85,85
male,married,67,79,75
female,married,52,64,61
male,single,66,62,63
male,single,72,77,77
female,married,71,77,74
female,divorced,88,94,92
male,widowed,73,63,56
male,single,94,80,79
male,divorced,62,61,56
male,single,65,51,55
male,single,54,58,55
female,single,60,61,69
male,,61,63,64
male,,78,81,67
female,married,56,69,73
female,married,65,61,66
male,single,30,25,29
female,divorced,56,63,61
male,married,88,74,66
male,married,50,51,45
male,single,54,59,54
male,married,70,68,70
male,married,51,51,54
female,married,52,59,59
male,married,71,72,67
male,single,86,70,69
male,married,59,52,57
male,married,76,78,73
female,divorced,68,85,84
female,single,84,85,87
male,married,81,70,68
female,divorced,68,81,79
female,married,37,54,56
male,divorced,77,54,54
female,divorced,78,82,78
female,,84,92,91
male,divorced,50,33,40
male,married,79,78,78
female,single,63,78,76
female,married,54,71,70
female,married,62,81,74
male,single,80,79,71
female,married,64,74,73
male,married,72,65,67
female,married,67,82,83
female,,52,56,52
male,married,72,67,64
male,,62,65,63
female,married,77,72,73
female,,60,59,70
male,married,67,66,67
female,single,46,63,58
female,divorced,90,100,100
female,widowed,56,67,71
male,married,66,56,60
male,married,64,68,68
male,married,79,78,77
male,married,46,43,42
male,widowed,59,50,42
female,married,54,68,59
female,married,47,57,57
male,single,71,63,61
male,divorced,66,61,54
male,married,73,61,64
female,married,79,98,100
female,married,79,79,83
male,single,52,50,49
male,married,50,63,65
male,single,74,70,66
male,married,67,53,65
female,single,59,82,73
male,married,91,81,90
female,married,54,69,66
male,,51,48,39
female,single,69,59,63
male,married,90,85,89
male,widowed,92,92,90
female,divorced,74,79,86
male,married,84,81,83
male,single,97,100,92
female,married,55,80,73
female,single,71,81,83
male,married,57,62,62
male,married,57,54,53
male,married,67,81,75
female,married,77,81,83
female,married,56,56,53
female,married,61,77,74
female,single,67,72,77
female,single,67,72,76
male,married,56,64,63
male,single,75,68,59
male,married,57,60,65
female,divorced,55,60,58
female,married,79,94,100
male,divorced,67,73,73
male,married,82,75,75
male,divorced,83,92,83
female,,60,72,66
female,married,91,99,100
female,married,59,76,74
female,,71,81,81
male,single,97,83,84
male,divorced,68,62,60
male,married,86,71,69
female,divorced,57,64,60
female,married,64,68,63
male,single,73,65,60
male,,73,67,71
male,married,83,77,78
female,widowed,77,74,78
male,married,50,50,50
male,married,72,61,62
female,single,64,72,63
female,married,100,100,100
male,married,77,75,73
male,single,87,71,69
female,married,53,55,52
male,married,89,96,87
male,married,68,69,64
female,married,76,73,75
female,married,57,65,61
female,single,68,75,75
male,married,71,74,72
female,single,58,69,61
male,divorced,56,55,47
male,single,36,32,27
male,widowed,71,69,63
female,married,73,78,90
male,single,47,45,45
male,divorced,100,97,94
male,married,81,69,67
female,single,60,65,64
female,married,55,63,61
male,married,69,62,61
male,,75,73,68
female,married,44,64,57
male,divorced,88,87,83
female,married,74,82,83
male,single,39,33,36
male,married,56,57,57
female,divorced,71,69,65
female,married,63,60,62
female,married,65,69,71
male,married,99,89,94
female,,62,73,69
male,married,85,83,75
female,married,61,61,68
female,divorced,81,81,78
male,divorced,84,67,72
female,single,65,85,80
female,married,62,67,70
male,married,97,87,86
female,married,73,70,80
female,single,32,45,43
female,single,73,70,74
male,married,72,51,54
male,single,39,36,36
female,married,59,64,70
male,married,92,82,81
female,single,60,61,69
female,single,54,67,68
male,married,49,52,47
female,single,65,68,72
female,single,54,59,64
male,divorced,30,15,20
female,single,48,62,56
male,single,77,71,71
male,married,71,65,58
female,married,61,69,72
male,married,50,48,44
female,single,59,74,75
female,married,87,88,97
male,,97,91,88
female,married,96,100,96
male,married,96,91,87
male,single,46,50,39
male,married,31,36,34
male,divorced,29,23,21
male,married,53,51,46
male,married,79,84,77
male,married,77,73,79
male,married,49,53,49
female,,69,70,72
female,single,68,72,77
male,married,100,87,95
male,married,67,74,67
male,married,71,75,68
male,,50,45,39
female,single,58,66,64
male,married,88,83,79
male,divorced,51,50,44
female,widowed,75,90,81
male,married,21,24,25
male,married,66,57,62
female,married,91,97,95
male,married,55,54,51
male,single,70,62,66
female,married,64,77,80
female,married,42,53,54
female,married,67,83,79
male,married,77,58,61
female,single,55,59,57
female,married,76,89,90
male,divorced,82,68,70
female,single,48,60,58
female,married,75,81,79
female,married,53,72,70
male,divorced,84,81,77
female,married,77,86,87
female,married,72,81,76
male,,57,46,43
male,single,58,46,45
male,single,75,67,70
female,single,78,86,83
female,single,96,100,100
female,married,65,70,69
male,married,92,91,88
male,married,40,46,39
female,single,73,75,81
female,married,62,66,55
male,married,59,65,65
male,married,83,73,71
male,,46,55,52
male,married,91,86,83
male,married,67,66,66
female,married,71,78,75
female,single,52,53,61
female,married,86,100,100
female,divorced,55,70,71
female,married,47,68,64
female,married,69,77,74
female,divorced,86,86,88
female,,36,34,39
male,married,75,72,70
male,married,73,69,62
female,married,67,74,77
male,single,90,90,79
male,single,47,50,40
male,divorced,62,58,53
female,married,61,69,67
female,married,77,83,88
male,married,60,62,55
male,married,87,89,89
female,married,21,37,38
male,divorced,74,70,81
female,divorced,50,65,62
male,married,32,31,28
female,married,76,78,90
female,single,76,77,76
male,single,74,77,72
female,divorced,57,69,66
male,married,48,40,37
male,married,76,73,76
male,married,99,100,97
female,single,38,57,53
female,divorced,86,80,92
male,married,91,73,73
male,married,69,66,63
male,single,78,70,68
male,married,75,83,78
female,married,66,69,70
female,married,53,64,63
female,married,70,73,73
female,divorced,54,66,67
male,married,60,51,50
male,divorced,51,56,46
female,married,48,60,61
female,married,53,56,65
male,widowed,65,61,53
male,,75,66,67
female,married,36,46,50
male,married,91,86,94
female,married,67,76,78
female,married,96,89,86
male,single,70,74,68
male,single,37,51,41
male,divorced,49,44,40
female,married,41,39,45
male,married,48,39,37
male,divorced,97,88,91
male,divorced,77,77,77
male,divorced,48,48,47
female,married,49,68,70
male,married,75,84,80
female,divorced,70,76,79
male,married,67,79,73
male,single,75,64,64
male,married,95,94,93
female,married,49,66,71
male,divorced,60,46,46
female,married,82,84,87
female,single,83,85,83
male,married,54,58,57
female,married,44,53,54
male,married,54,47,41
female,married,64,68,72
male,married,67,65,57
female,married,69,85,80
female,divorced,84,87,89
male,married,71,79,75
female,single,80,76,83
female,married,71,86,88
male,single,71,71,66
female,,67,86,84
female,widowed,61,73,73
male,married,43,45,42
female,married,78,84,75
female,divorced,48,66,69
female,divorced,44,59,62
female,married,71,89,94
female,married,79,96,88
male,single,63,74,72
female,single,56,71,70
male,married,45,48,48
male,divorced,89,74,76
male,married,76,66,53
female,married,55,68,64
female,divorced,45,56,51
female,single,76,83,85
male,divorced,59,67,62
male,married,94,79,79
female,married,56,66,60
female,divorced,69,80,80
female,married,47,60,62
male,divorced,100,97,97
male,married,77,72,69
male,married,77,83,72
female,married,49,67,62
female,single,82,82,93
female,divorced,59,62,61
male,married,61,59,57
female,,57,73,78
female,married,57,72,72
male,married,65,62,59
female,single,78,93,93
female,married,49,49,53
male,,97,82,82
female,married,74,75,83
male,single,81,76,72
male,single,82,72,80
male,married,72,69,70
male,single,53,50,44
male,divorced,77,73,80
female,married,75,86,88
female,single,77,87,83
female,married,47,55,57
female,married,63,87,82
male,divorced,58,55,57
female,married,61,73,73
female,single,67,81,77
female,married,73,84,84
female,,77,89,93
male,single,56,52,48
male,married,90,78,86
male,divorced,86,80,81
male,single,78,69,72
female,divorced,83,97,96
female,single,78,74,77
female,divorced,84,93,97
female,married,77,85,80
female,married,76,90,87
female,married,75,85,89
female,single,33,33,31
female,married,52,69,74
male,,94,81,80
female,,86,94,91
male,single,78,74,70
female,married,95,97,98
female,divorced,36,54,53
male,married,64,72,68
female,married,76,80,77
female,married,75,83,83
male,married,58,58,57
male,single,81,78,74
male,divorced,53,43,41
female,married,80,99,100
female,single,73,71,79
male,,58,62,55
female,married,69,85,81
female,married,70,89,89
female,married,74,82,87
female,married,63,74,73
female,married,80,97,99
female,married,44,57,47
male,married,83,85,83
female,married,74,73,65
male,married,41,42,35
female,married,57,68,64
female,married,51,53,61
male,married,72,60,53
female,married,81,92,94
female,married,77,86,85
male,married,86,87,78
male,married,73,74,64
male,married,75,78,76
male,divorced,68,63,59
male,single,81,85,85
male,divorced,58,50,54
male,married,69,62,62
female,divorced,53,59,59
male,married,81,69,63
male,married,78,79,78
female,married,80,86,92
female,single,64,77,73
female,married,41,40,43
male,married,68,60,63
male,married,31,40,24
male,married,98,85,89
male,single,60,52,58
female,married,47,57,53
female,divorced,70,87,93
male,married,93,76,74
male,divorced,81,79,82
female,married,58,65,63
female,married,56,56,66
female,married,75,74,78
female,married,44,54,60
female,divorced,66,87,81
female,divorced,53,70,68
male,divorced,73,70,71
male,divorced,58,61,64
male,divorced,53,57,62
female,divorced,60,81,77
female,single,23,43,35
female,married,89,89,93
female,married,80,80,81
male,married,39,39,36
female,married,49,51,57
female,divorced,53,69,68
male,single,65,57,53
female,married,60,72,69
male,married,74,72,75
male,married,50,55,55
male,married,51,55,49
female,married,83,80,78
female,single,40,42,52
female,divorced,64,63,71
male,divorced,82,67,65
male,married,82,74,76
male,divorced,64,57,59
female,single,80,92,89
male,divorced,73,68,64
male,divorced,72,74,81
male,widowed,86,80,84
female,single,31,40,41
female,married,69,84,85
female,single,67,76,71
male,married,88,89,84
male,divorced,39,46,48
female,divorced,59,69,67
male,single,46,38,34
female,married,51,66,62
male,married,48,42,44
female,married,50,63,66
female,married,59,80,76
female,divorced,67,68,64
female,married,78,75,83
female,single,86,97,100
male,married,81,65,67
female,married,67,83,74
female,single,78,89,87
female,married,73,86,87
male,married,84,90,88
female,married,51,54,56
female,married,100,100,98
male,divorced,52,56,51
female,married,65,61,62
female,divorced,27,46,39
male,married,65,60,56
female,married,75,77,77
female,married,50,68,58
male,divorced,64,68,71
female,married,67,82,78
female,married,62,60,65
male,single,80,79,73
female,married,44,55,64
male,single,67,72,65
female,married,44,61,62
male,married,67,64,62
female,married,51,68,61
male,divorced,91,90,88
male,married,67,55,57
female,married,54,54,59
female,married,59,65,66
male,divorced,61,59,45
female,single,73,81,79
male,married,64,65,58
female,married,50,60,58
male,divorced,63,54,55
female,single,66,66,65
male,married,46,47,41
male,married,68,71,70
male,married,74,76,69
female,divorced,86,96,100
female,married,41,65,60
female,married,60,74,76
female,,86,77,79
female,married,65,77,72
female,divorced,70,76,76
male,single,59,63,58
male,married,78,81,69
male,married,85,92,90
male,married,54,56,59
male,,91,83,86
female,married,66,77,70
male,married,41,42,40
male,married,87,79,74
female,divorced,66,82,80
male,single,79,70,67
female,single,55,57,55
male,married,77,71,63
male,married,83,77,77
male,married,46,46,46
female,widowed,84,98,95
female,married,52,63,65
female,married,65,71,74
male,married,76,69,64
male,married,88,87,91
female,married,84,92,98
male,married,53,56,59
female,married,72,72,73
male,single,74,69,64
male,married,70,69,68
male,divorced,77,68,68
male,married,51,61,53
male,married,87,74,78
female,married,80,93,91
female,single,61,72,73
male,married,60,62,58
male,single,75,72,70
female,,48,51,57
female,divorced,71,75,80
male,married,76,62,58
male,divorced,56,55,56
female,single,69,77,81
male,married,77,68,69
male,married,75,72,64
female,married,75,74,76
male,married,74,83,77
male,married,92,94,93
female,single,56,57,53
female,married,83,87,91
male,married,50,51,48
female,married,56,57,58
male,,50,43,42
male,single,88,89,82
female,divorced,83,91,96
male,married,69,72,73
male,single,68,66,55
female,married,80,79,86
female,married,90,100,98
female,married,67,73,83
female,married,77,79,84
female,married,46,42,41
male,divorced,22,30,31
male,married,64,60,53
male,single,90,95,93
male,single,78,78,69
female,divorced,55,56,58
male,married,41,36,33
female,married,36,48,47
male,married,82,73,75
female,divorced,56,74,69
male,married,78,73,71
male,divorced,70,60,63
male,married,58,54,50
male,married,77,78,73
male,divorced,83,86,79
male,single,42,62,56
female,widowed,56,70,73
female,married,62,67,70
female,single,61,75,71
female,single,49,58,60
female,married,60,75,82
female,single,62,72,68
male,married,35,31,23
male,single,90,82,82
male,married,61,58,58
female,single,45,71,68
male,widowed,72,66,60
female,,72,86,79
female,widowed,36,58,50
female,single,57,62,69
female,married,94,98,97
female,single,90,98,91
male,,74,70,73
male,married,76,75,70
female,married,70,91,86
female,married,69,70,69
female,married,69,66,71
male,divorced,99,85,85
female,married,71,81,83
male,single,84,72,68
female,married,69,78,79
male,married,57,55,53
male,divorced,67,61,62
male,married,71,62,66
female,single,60,67,70
female,divorced,69,69,76
female,single,94,100,100
female,divorced,97,91,99
female,single,77,85,85
male,divorced,70,70,61
male,married,88,79,72
female,married,60,62,59
male,divorced,46,39,36
male,married,93,89,82
male,married,76,75,76
female,divorced,70,83,76
female,married,43,64,57
female,single,73,82,82
male,married,86,76,70
male,married,49,44,42
male,married,75,59,60
female,married,74,81,78
male,married,42,43,36
female,married,82,82,83
male,single,55,37,47
female,married,60,73,69
male,married,67,53,50
male,married,67,64,63
female,single,64,68,66
male,,73,61,56
male,divorced,82,78,80
female,single,78,82,91
female,married,69,71,61
female,single,36,52,51
male,married,50,35,34
male,married,65,62,60
male,married,94,86,84
male,married,80,78,78
male,single,63,78,73
male,married,77,86,84
male,married,50,46,51
female,single,57,73,64
male,divorced,87,91,86
female,married,86,98,92
female,divorced,79,75,82
female,married,87,92,86
male,married,70,68,68
female,single,63,74,73
male,,57,44,41
female,single,55,72,72
female,married,81,98,100
female,married,89,92,95
female,married,59,75,71
male,married,68,58,54
male,single,74,70,70
male,married,78,84,78
male,married,69,63,66
male,married,45,34,32
male,single,19,11,6
male,married,91,92,90
female,married,74,91,93
female,married,67,64,66
female,single,78,82,82
male,married,75,72,57
female,single,70,92,91
male,married,56,58,52
female,single,29,40,37
male,divorced,56,59,49
male,single,70,71,64
female,divorced,89,91,89
female,married,59,64,64
male,single,60,60,53
female,married,64,82,80
female,single,83,88,93
male,married,62,67,63
male,married,63,52,52
male,married,47,55,42
female,married,62,66,66
female,married,44,41,44
female,single,57,68,60
male,married,71,70,64
female,divorced,66,58,61
female,married,53,65,64
female,married,53,71,67
male,,83,81,80
male,single,66,65,55
male,married,35,44,30
male,married,74,71,60
female,married,64,73,70
male,divorced,60,61,58
male,married,75,83,74
female,single,77,89,87
female,married,62,69,69
male,married,49,46,38
female,married,86,95,99
female,married,59,71,74
female,married,63,86,79
male,single,97,93,89
female,married,78,91,95
female,single,88,100,97
female,divorced,61,65,68
female,married,45,47,55
female,married,51,55,61
female,divorced,72,79,84
male,married,51,74,69
male,married,46,32,38
male,divorced,59,64,59
female,divorced,57,64,64
female,married,90,100,100
female,divorced,70,71,75
male,married,68,67,66
male,divorced,94,80,79
male,married,82,73,75
male,divorced,70,61,63
female,married,94,100,100
female,married,65,73,73
female,married,61,66,66
male,single,79,59,59
male,married,58,60,59
male,divorced,67,70,68
male,divorced,70,57,61
male,married,96,88,79
male,married,61,54,60
male,divorced,82,77,82
female,married,64,63,60
female,married,40,43,43
male,single,82,74,73
female,married,77,79,80
male,married,65,67,69
female,married,50,54,62
female,,92,97,96
male,divorced,66,56,53
male,married,79,66,73
female,single,70,75,75
female,divorced,68,71,71
female,married,32,51,53
female,divorced,68,74,85
male,married,55,63,51
female,single,65,71,66
female,married,38,50,53
male,married,41,45,38
male,divorced,86,92,83
female,divorced,83,71,73
female,divorced,62,71,73
female,,61,65,68
female,divorced,84,90,95
female,divorced,80,85,87
male,divorced,57,49,44
female,married,65,60,66
male,married,60,66,60
male,married,100,100,99
male,married,83,71,78
male,single,66,61,58
male,divorced,85,89,86
male,married,37,31,28
female,divorced,94,99,93
female,divorced,72,81,83
female,married,69,76,80
male,single,66,68,61
male,divorced,83,79,77
female,married,70,83,78
female,divorced,62,54,61
male,single,65,67,67
male,married,61,74,75
male,married,97,96,91
male,single,69,58,57
male,married,56,61,54
female,,74,79,79
female,single,82,92,87
male,single,84,78,84
male,single,91,82,88
male,married,90,75,77
male,married,74,66,64
male,married,71,62,61
female,married,64,63,79
female,divorced,81,87,91
male,single,77,72,70
male,married,77,77,69
male,married,62,59,58
male,single,65,70,61
female,divorced,63,79,79
male,married,41,42,34
female,married,38,51,54
female,married,62,64,61
male,married,88,75,73
male,married,84,80,84
female,married,44,60,50
female,single,55,58,62
male,single,73,60,57
female,married,51,73,69
female,single,83,83,82
female,,79,94,88
female,single,86,92,97
female,married,72,76,79
male,single,60,66,61
female,divorced,60,70,72
male,single,83,83,81
female,,73,79,80
male,married,87,73,68
male,single,69,67,68
male,married,63,65,61
male,married,62,57,57
male,married,76,82,75
male,widowed,39,33,37
female,single,48,60,61
female,married,39,54,47
male,married,61,69,64
female,married,45,56,48
female,single,47,56,54
female,married,77,89,91
female,married,51,70,64
male,single,83,83,82
female,married,95,96,100
male,married,60,51,53
female,married,70,80,82
male,married,80,81,79
male,married,56,60,45
male,married,85,71,80
female,single,84,91,94
female,married,64,68,70
male,married,40,38,34
male,married,61,61,62
female,single,51,50,53
female,married,44,62,59
male,married,86,88,88
male,single,22,17,17
male,married,72,74,71
male,divorced,72,66,60
female,widowed,65,70,72
male,divorced,78,89,88
female,single,67,82,75
male,single,65,63,68
male,married,72,70,70
female,married,77,79,78
male,single,69,81,83
female,married,68,78,70
female,divorced,73,80,84
male,married,58,60,61
female,single,67,75,80
female,divorced,71,74,74
female,widowed,76,81,81
female,married,58,71,72
female,single,94,98,94
female,divorced,82,99,96
male,single,78,67,69
male,divorced,57,56,54
female,married,81,82,84
female,married,72,89,95
female,single,64,74,78
female,married,55,71,61
male,married,67,70,64
female,married,62,68,70
female,married,69,63,75
female,single,66,87,84
male,married,66,65,59
female,single,85,95,90
female,married,39,51,45
female,single,87,93,91
female,married,100,100,100
male,married,51,49,53
female,married,68,87,84
male,married,66,55,51
male,married,37,30,29
female,married,64,79,77
female,divorced,46,57,58
female,married,51,60,59
male,single,45,43,39
female,married,67,85,82
female,married,50,77,73
male,married,78,61,57
female,married,69,74,75
male,married,80,78,75
male,married,66,64,65
female,single,44,52,57
female,divorced,100,100,100
female,divorced,78,90,88
male,divorced,86,80,82
female,married,51,58,58
male,single,92,93,86
female,married,62,63,69
male,single,74,79,76
female,divorced,69,75,72
male,single,76,67,62
female,married,57,70,66
female,married,93,100,100
female,married,48,55,59
female,single,51,61,69
female,married,74,88,87
male,single,67,72,73
female,married,64,74,72
female,single,66,77,75
female,married,66,78,78
male,married,64,66,67
female,married,63,77,77
male,divorced,52,49,46
female,married,66,80,66
male,married,57,54,48
female,married,60,65,65
male,married,72,75,75
male,single,57,45,41
male,married,63,57,53
female,married,73,82,82
female,married,63,74,64
female,married,77,89,84
female,married,89,97,95
female,divorced,22,43,34
male,divorced,81,81,72
male,married,64,66,59
female,married,84,94,92
female,married,43,51,47
male,married,67,63,56
female,married,89,98,97
female,married,100,99,100
female,married,89,94,97
female,married,55,67,57
female,married,51,53,43
female,married,86,95,85
male,married,51,56,51
male,married,50,35,40
male,married,75,59,66
male,divorced,62,54,65
female,divorced,77,76,75
male,single,44,57,48
female,married,33,39,36
female,married,57,67,69
female,married,54,70,66
male,single,72,58,57
female,single,56,63,64
male,single,65,52,59
female,married,69,64,68
female,,62,69,68
male,married,67,73,67
female,single,73,89,88
male,single,69,70,67
female,single,61,75,80
female,married,70,80,77
male,single,93,95,86
female,single,65,66,74
male,single,61,66,63
male,,39,47,40
male,divorced,91,80,82
female,married,48,66,66
female,married,70,83,81
female,married,49,62,58
male,married,66,60,56
female,married,39,63,59
female,single,96,99,98
female,single,71,73,72
female,single,41,66,58
male,married,96,86,86
female,widowed,80,81,86
female,married,62,67,74
male,married,47,45,39
female,married,80,88,88
female,single,78,81,88
male,single,76,70,65
female,divorced,67,85,76
male,married,71,67,66
male,married,49,42,43
female,married,78,86,89
male,,85,79,85
female,divorced,55,60,64
female,single,61,71,72
male,married,67,72,64
male,single,53,53,57
male,single,61,59,56
female,single,45,59,58
female,married,69,78,82
female,divorced,63,86,86
female,single,75,96,85
female,married,32,51,56
female,divorced,57,77,78
male,married,78,63,67
male,divorced,49,56,52
male,single,97,87,87
female,married,66,72,64
female,divorced,79,83,84
female,married,65,69,73
male,married,62,47,53
male,single,78,76,72
female,divorced,47,54,50
female,married,60,66,64
female,married,65,77,68
female,married,74,100,96
male,,53,51,48
male,single,83,79,84
female,single,82,94,98
female,single,70,63,70
female,divorced,44,57,53
male,married,79,91,85
female,married,69,84,86
male,,73,82,74
female,single,75,81,80
female,married,55,67,61
male,married,51,47,47
female,married,52,69,67
female,divorced,27,36,33
female,single,50,65,63
male,married,81,78,82
male,single,90,78,76
female,divorced,70,69,71
male,divorced,64,70,64
male,single,72,77,70
female,widowed,61,83,86
female,married,55,70,66
female,married,87,95,94
female,married,65,70,76
female,married,60,77,71
female,married,77,80,82
female,married,70,74,77
male,married,57,58,56
male,single,68,64,61
male,single,42,39,37
male,divorced,85,72,69
male,married,79,76,75
female,single,65,62,65
female,married,70,62,67
male,,74,71,72
female,married,43,53,43
female,married,51,60,57
male,single,55,60,54
female,single,84,95,97
female,married,51,56,58
female,single,22,30,24
male,divorced,51,50,54
male,single,81,60,64
female,single,59,54,56
male,married,68,65,62
male,single,80,69,67
female,divorced,53,69,62
female,married,62,74,72
female,married,56,66,69
male,single,67,60,64
male,single,43,51,46
female,married,77,84,80
female,divorced,58,75,73
female,divorced,72,76,78
male,married,44,39,38
female,single,57,66,64
male,,96,96,99
male,married,63,62,60
male,married,63,50,53
male,single,69,70,75
female,divorced,53,68,67
male,single,63,67,65
female,married,59,76,72
female,married,38,42,39
female,married,75,82,90
female,single,38,52,56
male,divorced,62,49,47
male,married,95,83,83
male,married,100,89,85
female,married,57,63,62
male,married,74,65,65
male,,57,62,60
male,single,71,53,50
male,married,71,72,66
female,married,44,49,53
female,divorced,67,80,80
male,single,100,86,86
male,single,73,65,63
female,single,56,59,62
male,married,63,59,57
female,divorced,58,72,71
male,married,53,61,52
female,,59,68,63
female,divorced,70,73,71
female,married,67,86,87
female,divorced,41,59,57
male,widowed,81,63,59
female,divorced,50,55,55
female,married,74,90,90
female,married,64,71,70
female,married,76,83,78
male,married,67,68,67
female,married,54,55,65
male,widowed,68,56,57
male,divorced,100,97,100
male,married,93,74,67
female,divorced,50,70,78
male,married,64,67,65
female,married,45,59,60
female,married,56,70,68
male,married,88,73,70
female,,60,66,60
female,,56,61,62
male,married,61,61,59
male,single,73,75,71
male,divorced,75,77,63
male,married,46,39,44
female,married,66,79,88
female,married,39,46,40
male,divorced,61,54,61
male,married,91,84,80
male,divorced,78,81,77
male,married,100,99,95
female,single,64,71,70
female,single,73,70,69
male,single,63,60,54
male,married,50,42,39
male,married,58,51,46
female,single,62,65,63
female,,82,83,92
female,married,77,86,92
male,divorced,82,80,80
male,married,90,90,96
female,married,55,68,66
female,single,42,49,47
male,single,36,36,38
female,single,77,80,81
male,married,51,50,46
female,married,64,76,70
male,single,49,45,44
male,single,31,24,22
female,single,94,96,87
female,married,27,39,36
female,single,51,66,61
female,divorced,68,68,63
female,divorced,66,72,77
female,married,40,60,58
female,divorced,39,56,49
male,married,57,58,56
female,single,74,79,82
male,married,78,80,76
female,married,47,50,56
male,married,67,69,65
male,single,82,79,71
female,,55,62,63
male,divorced,75,62,60
male,single,66,59,50
male,married,81,74,74
female,married,88,100,100
female,married,77,87,84
male,single,87,80,76
female,married,46,50,52
female,married,61,74,72
male,married,43,37,35
female,divorced,77,87,87
female,married,66,73,75
male,married,78,78,82
female,married,69,74,88
male,married,67,65,60
male,single,62,69,54
female,married,54,65,61
female,single,62,82,75
female,,63,69,59
female,divorced,53,64,62
female,married,44,61,62
male,single,65,49,48
male,married,80,71,73
male,divorced,93,72,78
male,single,66,63,63
female,single,81,84,89
female,single,65,72,79
male,single,76,70,71
female,married,60,62,66
male,single,59,60,61
female,divorced,65,66,71
female,single,54,71,66
female,divorced,72,87,82
male,married,90,84,88
female,single,50,60,59
female,single,49,56,53
male,,70,68,64
male,divorced,95,81,79
male,divorced,71,50,59
female,single,65,83,86
female,single,75,85,91
male,married,61,53,47
male,widowed,75,82,75
female,single,83,80,81
female,single,63,82,74
male,divorced,55,54,46
female,single,51,58,58
female,divorced,69,76,71
male,married,63,51,50
female,single,80,87,88
female,divorced,67,78,85
male,married,96,87,94
male,married,75,61,57
male,married,57,56,52
female,married,62,72,69
male,married,66,76,70
female,married,61,61,63
male,single,55,46,47
female,single,83,85,96
male,single,82,81,73
male,single,47,39,37
female,married,49,65,64
male,married,84,75,83
female,married,59,69,72
female,divorced,60,78,74
female,married,49,71,67
male,married,78,75,81
male,single,72,68,72
male,married,48,58,51
male,single,50,55,54
male,married,52,51,47
male,single,63,56,51
female,single,81,82,85
female,widowed,81,79,84
male,single,81,63,61
female,married,17,23,31
female,married,50,63,60
female,divorced,44,55,48
male,married,59,49,54
female,married,53,70,73
female,married,78,85,88
male,single,71,62,67
male,single,61,61,57
female,single,48,47,46
male,single,78,75,70
female,married,60,66,67
female,divorced,66,68,69
male,married,87,78,79
male,married,54,57,50
female,married,80,83,82
male,single,67,78,74
male,married,91,82,80
male,married,60,57,55
male,married,93,88,92
female,single,57,68,69
female,divorced,66,78,73
female,single,71,84,90
male,single,63,65,65
male,married,84,72,73
female,married,70,75,70
female,single,73,94,91
female,married,40,44,42
female,single,90,98,99
female,single,54,73,70
male,single,79,80,81
male,married,98,85,86
female,married,43,48,50
male,married,82,74,68
male,married,40,33,34
female,single,54,69,61
female,married,39,54,47
female,widowed,93,98,97
female,married,70,68,73
female,divorced,57,76,75
female,divorced,66,75,77
female,married,75,76,74
male,married,50,54,43
female,married,80,83,85
female,single,57,63,63
male,single,42,30,34
male,married,82,78,75
female,married,70,76,79
female,single,60,58,65
male,married,53,48,50
male,single,63,67,54
female,married,92,94,94
female,married,44,50,48
male,single,85,75,83
male,single,44,51,53
male,married,70,65,66
female,married,29,28,33
female,divorced,50,65,66
male,married,73,66,67
male,divorced,71,60,64
female,married,75,76,74
male,married,64,66,65
female,married,62,80,77
male,single,77,68,59
male,single,81,70,74
male,married,47,39,27
male,single,67,72,69
male,single,69,72,71
